input_claims,labels
"""Arctic’s strongest sea ice breaks up for first time on record""",5
there is no relationship between temperature and carbon dioxide emissions by ­humans[...] carbon dioxide has had a minuscule effect on global climate,1
"The ­atmospheric residency time of carbon dioxide is five years and it is quickly sequestered into plants, marine life, oceans and sediments.",2
"""Repeat after me: carbon dioxide is good for us""",1
"""Domino-effect of climate events could move Earth into a ‘hothouse’ state""",4
California wildfires are being magnified & made so much worse by the bad environmental laws which aren’t allowing massive amounts of readily available water to be properly utilized. It is being diverted into the Pacific Ocean.,1
"""Climate change is supercharging a hot and dangerous summer""",5
"""Spring Is Springing Sooner, Throwing Nature's Rhythms Out Of Whack""",5
"Sea-level rise does not seem to depend on ocean temperature, and certainly not on CO2",1
"""Global warming could be far worse than predicted, new study suggests""",4
"""Ross McKitrick: All those warming-climate predictions suddenly have a big, new problem""",2
"""Antarctic ice loss has tripled in a decade. If that continues, we are in serious trouble.""",5
"""Hurricanes Are Moving Slower—And That's a Huge Problem""",5
"""In a Warming West, the Rio Grande Is Drying Up""",4
"""The Sea Is Rising, but Not Because of Climate Change""",1
"""The amount of carbon dioxide in the atmosphere just hit its highest level in 800,000 years and scientists predict deadly consequences""",2
"""Not all scientists agree on cause of Great Barrier Reef damage""",1
"""A Startling New Discovery Could Destroy All Those Global Warming Doomsday Forecasts""",1
There isn’t yet any empirical evidence for their claim that greenhouse gases even cause temperatures to increase.,1
"""The Arctic’s carbon bomb might be even more potent than we thought""",5
"""Polar bears keep thriving even as global warming alarmists keep pretending they’re dying""",1
"""Satellite observations show sea levels rising, and climate change is accelerating it""",5
"The ice caps were going to melt. They were going to be gone by now, but now they're setting records",1
"""Heart-Wrenching Video Shows Starving Polar Bear on Iceless Land""",4
"""If Everyone Ate Beans Instead of Beef""",4
"""An Iceberg the Size of Delaware Just Broke Away From Antarctica""",5
"""Arctic’s Winter Sea Ice Drops to Its Lowest Recorded Level""",5
"""Global Warming Study Canceled After Humiliating Discovery""",1
"""The Sea Level Around Florida Is Rising Six Times Faster Than Average""",4
"""Earth Sets a Temperature Record for the Third Straight Year""",5
"""Scientists Announce That The Great Barrier Reef is Officially “Terminal”""",2
"""Jerry Brown Blames Climate Change for California Fires: ‘The New Normal’""",1
"""STUDY: Satellites Show No Acceleration In Global Warming For 23 Years""",2
the real atmosphere is less sensitive to CO2 than what has been forecast by climate models,1
"""Ice Apocalypse""",4
"""The three-degree world: the cities that will be drowned by global warming""",4
"""Climate change might be worse than thought after scientists find major mistake in water temperature readings""",2
"""Misguided renewable energy policies will ruin nation""",1
"""More acidic oceans 'will affect all sea life'""",4
"unadjusted data suggests that temperatures in Australia have only increased by 0.3 degrees over the past century, not the 1 degree usually claimed",1
"""Climate Change Is Complex. We’ve Got Answers to Your Questions.""",5
climate models have overestimated the amount of global warming and failed to predict what climatologists call the warming ‘hiatus’,1
"""Climate Scientists: Climate Models Have Overestimated Global Warming""",1
"""Has Climate Change Intensified 2017’s Western Wildfires?""",5
Most of the recent warming could be natural,1
"""Did Climate Change Intensify Hurricane Harvey?""",5
"""Alaska's Permafrost is Thawing""",5
"The IPCC, the Intergovernmental Panel on Climate Change, which is sort of the voice of the consensus, concedes that there has been no increase in extreme weather events.",1
"according, again, to the official figures—during this past 10 years, if anything, mean global temperature, average world temperature, has slightly declined",1
"""Global Ocean Circulation Appears To Be Collapsing Due To A Warming Planet""",4
"""Climate Change Isn’t the End of the World""",1
"""2017 is so unexpectedly warm it is freaking out climate scientists""",4
"""The Uninhabitable Earth""",2
"""‘Nearly All’ Recent Global Warming Is Fabricated, Study Finds""",1
"Trump's action could push the Earth over the brink, to become like Venus, with a temperature of two hundred and fifty degrees, and raining sulphuric acid.",1
"""The American South Will Bear the Worst of Climate Change’s Costs""",5
"""95-Degree Days: How Extreme Heat Could Spread Across the World""",4
Most likely the primary control knob [on climate change] is the ocean waters and this environment that we live in.,1
"""‘Global Warming’ Is a Myth, Say 58 Scientific Papers in 2017""",1
'Global warming' is a myth — so say 80 graphs from 58 peer-reviewed scientific papers published in 2017.,1
"""WHO: United States Among Least Polluting Nations on the Planet""",1
"""Ted Cruz: Trump should withdraw from Paris climate pact""",1
Neither the rate nor the magnitude of the reported late twentieth century surface warming (1979–2000) lay outside normal natural variability.,2
"Forward projections of solar cyclicity imply the next few decades may be marked by global cooling rather than warming, despite continuing CO2 emissions.",1
global warming ceased around the end of the twentieth century and was followed (since 1997) by 19 years of stable temperature,1
"""Antarctic Dispatches: Miles of ice collapsing into the sea / Racing to find answers in the ice""",5
[climate models] systematically over-estimate the sensitivity of climate to carbon dioxide ... and modelers exclude forcings and feedbacks that run counter to their mission,1
"""The ‘ancient carbon’ of Alaska’s tundras is being released, starting a vicious warming cycle""",4
Melting of Arctic sea ice and polar icecaps is not occurring at ‘unnatural’ rates and does not constitute evidence of a human impact on the climate.,1
"""Global Quackery: Earth Has Not Warmed For Past 19 Years, New Study Finds""",1
"""Another Arctic ice panic over as world temperatures plummet""",1
Best available data show sea-level rise is not accelerating. Local and regional sea levels continue to exhibit typical natural variability—in some places rising and in others falling.,1
"Solar forcings are not too small to explain twentieth century warming. In fact, their effect could be equal to or greater than the effect of CO<sub>2</sub> in the atmosphere.",1
"Doubling the concentration of atmospheric CO2 from its pre-industrial level, in the absence of other forcings and feedbacks, would likely cause a warming of ~0.3°C to 1.1°C",2
"The temperature is not rising nearly as fast as the alarmist computer models predicted. You know, it’s much, much less, factors of 2 or 3 less.",1
"there's this myth that's developed around carbon dioxide that it's a pollutant […] Carbon dioxide is a perfectly natural gas, it’s just like water vapor, it’s something that plants love.",2
"""How a Melting Arctic Changes Everything""",5
"""From extreme drought to record rain: Why California's drought-to-deluge cycle is getting worse""",4
“Miami’s fight against rising seas”,5
"""One the most troubling ideas about climate change just found new evidence in its favor""",5
"""Record-breaking climate change pushes world into ‘uncharted territory’""",5
"""Large Sections Australia’s Great Reef Are Now Dead, Scientists Find""",5
"""Why are climate-change models so flawed? Because climate science is so incomplete""",1
I would not agree that [carbon dioxide is] a primary contributor to the global warming that we see.,1
"""Scientists: Here's What Really Causes Climate Change (And It Has Nothing To Do With Human Beings)""",1
"""Here’s why it's so frickin’ hot right now""",5
"""Scientists have just detected a major change to the Earth’s oceans linked to a warming climate""",5
"""What California’s Dam Crisis Says About the Changing Climate""",4
"""The big melt: Global sea ice at record low""",5
world leaders were duped into investing billions over manipulated global warming data,2
the warming is not nearly as great as the climate change computer models have predicted.,2
"""U.S. scientists officially declare 2016 the hottest year on record. That makes three in a row.""",5
"""Ocean acidification: yet another wobbly pillar climate alarmism""",1
there has been no reduction in oceanic pH levels in the last century,1
"""Arctic ice melt 'already affecting weather patterns where you live right now'""",4
"""Stunning new data indicates El Nino drove record highs in global temperatures...""",1
El Niño drove record highs in global temperatures suggesting rise may not be down to man-made emissions.,2
"""Australia’s Great Barrier Reef has worst coral die-off ever""",5
"""Amid higher global temperatures, sea ice at record lows at poles""",5
"""The Phony War Against CO2""",1
"Sea level rise, which was occurring long before humans could be blamed, has not accelerated.",1
"""Hillary Clinton Boards The Climate Crisis Train To Nowhere""",1
"""About Those Non-Disappearing Pacific Islands""",1
"""James Lovelock: ‘Before the end this century, robots will have taken over’""",1
"""Climate Exaggeration is Backfiring""",1
"""Greenland's huge annual ice loss is even worse than thought""",5
"""Flooding Coast, Caused by Global Warming, Has Already Begun""",5
Sea level rise could reach six or seven feet by the year 2100.,5
"""Next year or the year after, the Arctic will be free ice""",2
"""Disasters like Louisiana floods will worsen as planet warms, scientists warn""",5
"""Environmental records shattered as climate change 'plays out before us'""",5
"""What science can tell us about the links between global warming and massive heat waves""",5
the U.S. is shattering high temperature records far more frequently than it is shattering low temperature records,5
"""Scientists warn 'global climate emergency' over shifting jet stream""",1
"""Thanks to climate change, the Arctic is turning green""",4
"""Great Barrier Reef may perish by 2030s...""",4
"""An Overheated Climate Alarm""",1
"""What we’re doing to the Earth has no parallel in 66 million years, scientists say""",5
"""Scientists are exaggerating carbon threat to marine life""",1
"""Seas Are Rising at Fastest Rate in Last 28 Centuries""",5
"""The Climate Snow Job""",1
"""2015 Was Not Even Close To Hottest Year On Record""",1
"""2015 Was Hottest Year in Historical Record, Scientists Say""",5
"""Scientists say human greenhouse gas emissions have canceled the next ice age""",5
"""Your Complete Guide to the Climate Debate""",1
“Top 10 Global Warming Lies That May Shock You”,1
“Updated NASA Data: Global Warming Not Causing Any Polar Ice Retreat”,1
“How Hurricane Patricia became the strongest hurricane on record so quickly”,5
“Climate Change Will Cause Increased Flooding In Coastal Cities ”,4
“South Carolina flooding is the type event climate scientists have warned about for years”,5
"“Wake up, Obama, climate change has been happening forever”",1
“Deceptive temperature record claims”,1
"“El Niño, explained: Why this year's could be one the strongest on record”",5
“How Arctic ice has made fools all those poor warmists”,1
“Earth heading for 'mini ice age' within 15 years”,1
Pope Francis’ Encyclical Laudato Si,4
"""Vanuatu's president makes a leap in tying Cyclone Pam to climate change""",5
"""The Alarming Thing About Climate Alarmism""",1
"""2014 Breaks Heat Record, Challenging Global Warming Skeptics""",5
